PAIS;AÑO;POBLACION;GDP USD;electricity_demand;electricity_generation;electricity_share_energy;energy_cons_change_% ;energy_cons_change_twh;energy_per_capita;fossil_cons_change_% ;fossil_cons_change_twh;fossil_elec_per_capita;fossil_electricity;fossil_energy_per_capita;fossil_fuel_consumption;fossil_share_elec;fossil_share_energy;greenhouse_gas_emissions;hydro_cons_change_% %;hydro_cons_change_twh;hydro_consumption;hydro_elec_per_capita;hydro_electricity;hydro_energy_per_capita;hydro_share_elec;hydro_share_energy;low_carbon_cons_change_%;low_carbon_cons_change_twh;low_carbon_consumption;low_carbon_elec_per_capita;low_carbon_electricity;low_carbon_energy_per_capita;low_carbon_share_elec %;low_carbon_share_energy %;net_elec_imports_Trw;net_elec_imports_share_demand %;renewables_cons_change_% %;renewables_cons_change_twh;renewables_consumption;renewables_elec_per_capita;renewables_electricity;renewables_energy_per_capita;renewables_share_elec %;renewables_share_energy %;solar_cons_change_% %;solar_cons_change_twh;solar_consumption;solar_elec_per_capita;solar_electricity;solar_energy_per_capita;solar_share_elec;solar_share_energy;wind_cons_change_% %;wind_cons_change_twh;wind_consumption;wind_elec_per_capita;wind_electricity;wind_energy_per_capita;wind_share_elec %;wind_share_energy %
Argentina;2010;41100124;7.85E+11;128.24;119.64;13.534;3.69;31.458;21507.703;4.353;31.778;1910.943;78.54;18534.785;761.782;65.647;86.177;43.89;-3.635;-4.086;92.593;803.404;33.02;2252.866;27.599;10.475;8.788;-0.319;122.187;999.997;41.1;2972.917;34.353;13.823;8.6;6.706;13.509;2.407;102.984;837.224;34.41;2505.684;28.761;11.65;12.888;0;0;0;0;0.006;0;0;-31.169;-0.032;0.07;0.73;0.03;1.712;0.025;0.008
Argentina;2011;41520736;8.36E+11;132.42;122.75;13.502;2.842;25.122;21894.867;4.089;31.146;2033.442;84.43;19097.164;792.928;68.782;87.222;47.15;-6.514;-6.559;86.034;747.337;31.03;2072.072;25.279;9.464;-0.456;-6.025;116.163;922.912;38.32;2797.702;31.218;12.778;9.67;7.303;1.454;-3.763;99.221;781.056;32.43;2389.665;26.42;10.914;1779.148;0.004;0.004;0;0;0.107;0;0;4.887;0.003;0.073;1.445;0.06;1.767;0.049;0.008
Argentina;2012;41952364;8.27E+11;136.3;128.69;13.637;3.808;34.615;22494.715;4.779;37.894;2189.626;91.86;19803.955;830.823;71.381;88.038;50.7;-6.485;-6.067;79.967;684.348;28.71;1906.136;22.309;8.474;0.245;-3.279;112.884;877.901;36.83;2690.76;28.619;11.962;7.61;5.583;0.278;-3.181;96.039;737.265;30.93;2289.243;24.035;10.177;406.38;0.018;0.022;0.238;0.01;0.534;0.008;0.002;1290.953;0.941;1.014;19.546;0.82;24.174;0.637;0.107
Argentina;2013;42388268;8.47E+11;140.11;132.31;13.482;3.994;37.692;23152.588;3.247;26.973;2159.796;91.55;20236.637;857.796;69.194;87.406;50.9;12.368;9.349;89.316;766.957;32.51;2107.085;24.571;9.101;10.632;10.718;123.602;961.587;40.76;2915.951;30.806;12.594;7.8;5.567;12.747;11.33;107.369;826.408;35.03;2532.988;26.476;10.94;84.438;0.019;0.041;0.236;0.01;0.969;0.008;0.004;22.574;0.221;1.236;23.827;1.01;29.149;0.763;0.126
Argentina;2014;42824064;8.26E+11;141.67;131.81;13.452;-0.157;-1.54;22881.006;-0.051;-0.439;2152.528;92.18;20020.451;857.357;69.934;87.498;50.91;-1.082;-1.496;87.82;754.949;32.33;2050.716;24.528;8.963;2.012;-1.102;122.501;925.414;39.63;2860.555;30.066;12.502;9.86;6.96;3.765;0.797;108.166;802.586;34.37;2525.827;26.075;11.039;5.771;0.002;0.043;0.467;0.02;1.009;0.015;0.004;36.646;0.443;1.678;14.478;0.62;39.19;0.47;0.171
Argentina;2015;43257064;8.48E+11;146.75;137.79;13.821;1.743;17.082;23046.873;1.492;12.793;2246.57;97.18;20115.785;870.15;70.528;87.282;53.88;-0.244;-0.736;87.084;738.377;31.94;2013.172;23.18;8.735;4.936;4.29;126.79;938.806;40.61;2931.087;29.472;12.718;8.96;6.106;2.349;0.434;108.6;785.305;33.97;2510.579;24.653;10.893;-7.909;-0.004;0.04;0.231;0.01;0.914;0.007;0.004;-4.222;-0.08;1.598;13.639;0.59;36.938;0.428;0.16
Argentina;2016;43668236;8.28E+11;149.16;139.64;14.071;-0.453;-4.516;22726.455;0.005;0.044;2308.314;100.8;19927.385;870.194;72.186;87.684;55.15;-7.993;-7.435;79.649;673.258;29.4;1823.965;21.054;8.026;-1.394;-4.56;122.23;889.434;38.84;2799.07;27.814;12.316;9.52;6.382;-4.106;-7.653;100.947;710.356;31.02;2311.688;22.214;10.172;-2.792;-0.001;0.038;0.229;0.01;0.875;0.007;0.004;-7.749;-0.133;1.465;12.366;0.54;33.555;0.387;0.148
Argentina;2017;44054616;8.50E+11;149.03;138.57;13.977;-0.103;-1.027;22503.818;-0.367;-3.191;2256.29;99.4;19680.186;867.003;71.733;87.453;52.86;6.189;4.432;84.082;714.114;31.46;1908.576;22.703;8.481;4.275;2.164;124.394;889.124;39.17;2823.634;28.267;12.547;10.46;7.019;9.643;7.899;108.847;758.15;33.4;2470.724;24.103;10.979;15.021;0.005;0.044;0.454;0.02;0.992;0.014;0.004;11.731;0.162;1.628;13.846;0.61;36.944;0.44;0.164
Argentina;2018;44413592;8.29E+11;149.35;139.79;14.201;-0.711;-7.052;22163.16;-1.343;-11.647;2213.511;98.31;19258.883;855.356;70.327;86.896;51.42;2.166;1.319;85.401;719.599;31.96;1922.847;22.863;8.676;2.548;4.595;128.989;933.948;41.48;2904.279;29.673;13.104;9.56;6.401;1.341;2.696;111.543;787.372;34.97;2511.452;25.016;11.332;558.646;0.242;0.286;2.477;0.11;6.441;0.079;0.029;131.004;2.11;3.738;31.522;1.4;84.157;1.002;0.38
Argentina;2019;44745516;;143.85;133.16;14.359;-5.789;-56.987;20725.168;-6.992;-59.811;2023.89;90.56;17779.336;795.546;68.008;85.786;46.63;-14.79;-12.899;72.501;610.787;27.33;1620.299;20.524;7.818;2.522;2.823;131.813;952.051;42.6;2945.832;31.992;14.214;10.69;7.431;-0.123;-1.084;110.459;773.932;34.63;2468.605;26.006;11.911;639.571;1.822;2.108;17.655;0.79;47.11;0.593;0.227;253.636;9.431;13.169;110.626;4.95;294.314;3.717;1.42
Argentina;2020;45036032;;143.4;138.69;15.945;-6.204;-57.529;19314.066;-7.293;-58.023;2033.483;91.58;16376.283;737.523;66.032;84.789;48.14;-13.942;-10.338;62.163;538.68;24.26;1380.305;17.492;7.147;-8.019;0.493;132.306;1046.051;47.11;2937.781;33.968;15.211;4.71;3.285;-12.277;-3.382;107.077;822.675;37.05;2377.575;26.714;12.31;68.108;1.423;3.531;29.532;1.33;78.397;0.959;0.406;88.365;11.546;24.715;206.945;9.32;548.784;6.72;2.841
Argentina;2021;45276788;;149.18;146.68;15.189;11.019;95.843;21328.186;12.741;93.97;2193.839;99.33;18364.658;831.493;67.719;86.105;52.48;-16.991;-10.751;51.412;445.924;20.19;1135.515;13.765;5.324;2.399;1.873;134.179;1045.79;47.35;2963.528;32.281;13.895;2.5;1.676;2.574;1.567;108.643;821.171;37.18;2399.532;25.348;11.251;63.842;2.233;5.764;47.927;2.17;127.296;1.479;0.597;37.478;9.138;33.853;282.926;12.81;747.699;8.733;3.506
Argentina;2022;45510324;;155.48;143.67;14.353;3.656;35.302;21994.422;2.708;22.519;2000.645;91.05;18765.236;854.012;63.374;85.318;48.6;21.587;10.871;62.283;574.595;26.15;1368.55;18.201;6.222;12.323;12.782;146.961;1156.221;52.62;3229.188;36.626;14.682;11.81;7.596;20.654;19.632;128.275;992.083;45.15;2818.588;31.426;12.815;33.373;1.895;7.659;63.942;2.91;168.291;2.025;0.765;9.483;3.075;36.929;308.062;14.02;811.435;9.758;3.689
Brazil;2010;196353504;2.82E+12;545.43;510.78;16.037;9.129;266.448;16220.931;12.527;194.752;310.766;61.02;8909.68;1749.447;11.946;54.927;53.62;3.146;27.446;1119.363;2053.898;403.29;5700.752;78.956;35.144;5.543;71.697;1435.59;2290.563;449.76;7311.252;88.054;45.073;34.65;6.353;5.396;67.738;1396.908;2220.434;435.99;7114.253;85.358;43.858;;0;0;0;0;0;0;0;75.812;2.584;6.041;11.102;2.18;30.767;0.427;0.19
Brazil;2011;198185296;2.97E+12;563.28;527.39;16.002;3.477;110.753;16629.84;3.252;56.897;253.652;50.27;9114.419;1806.344;9.532;54.808;49.34;6.21;62.26;1181.623;2161.26;428.33;5962.211;81.217;35.852;2.028;53.856;1489.446;2407.444;477.12;7515.421;90.468;45.192;35.89;6.372;1.89;51.084;1447.993;2332.766;462.32;7306.256;87.662;43.935;;0;0;0;0;0;0;0;24.268;1.42;7.462;13.624;2.7;37.649;0.512;0.226
