PAIS,AÑO,MES,PRODUCTO,CANTIDAD DE ENERGIA (GWh),CODIGO DE PRODUCTO,AÑO ACTUAL- MES ACTUA,AÑO ANTERIOR- MES ACTUAL,PARTICIPACION
Chile,2010,January,Hydro,2.277.808,1,21.641.001,,47.65%
Chile,2010,January,Wind,21.126,2,332.001,,0.44%
Chile,2010,January,Renewables,2.456.621,22,24.101.174,,51.39%
Chile,2010,January,Low carbon,2.465.954,26,24213.17,,51.58%
Chile,2010,January,Fossil fuels,2.323.789,27,34.232.823,,48.61%
Mexico,2010,January,Hydro,1.348.316,1,36.790.001,,6.71%
Mexico,2010,January,Wind,103.06,2,1236.72,,0.51%
Mexico,2010,January,Solar,2.529,3,30.999,,0.01%
Mexico,2010,January,Renewables,2.070.082,22,45.046.671,,10.30%
Mexico,2010,January,Low carbon,3.073.625,26,50.707.671,,15.29%
Mexico,2010,January,Fossil fuels,17.026.702,27,213.628.051,,84.71%
Chile,2010,February,Hydro,1.741.263,1,21.641.001,,39.61%
Chile,2010,February,Wind,15.111,2,332.001,,0.34%
Chile,2010,February,Renewables,1917.02,22,24.101.174,,43.61%
Chile,2010,February,Low carbon,1.926.353,26,24213.17,,43.82%
Chile,2010,February,Fossil fuels,2.478.931,27,34.232.823,,56.39%
Mexico,2010,February,Hydro,1.648.577,1,36.790.001,,9.12%
Mexico,2010,February,Wind,103.06,2,1236.72,,0.57%
Mexico,2010,February,Solar,2.433,3,30.999,,0.01%
Mexico,2010,February,Renewables,2.289.016,22,45.046.671,,12.66%
Mexico,2010,February,Low carbon,3.153.184,26,50.707.671,,17.44%
Mexico,2010,February,Fossil fuels,14.932.175,27,213.628.051,,82.56%
Chile,2010,March,Hydro,1.580.975,1,21.641.001,,35.36%
Chile,2010,March,Wind,14.935,2,332.001,,0.33%
Chile,2010,March,Renewables,1.744.829,22,24.101.174,,39.02%
Chile,2010,March,Low carbon,1.754.162,26,24213.17,,39.23%
Chile,2010,March,Fossil fuels,2.726.506,27,34.232.823,,60.98%
Mexico,2010,March,Hydro,2.068.135,1,36.790.001,,9.75%
Mexico,2010,March,Wind,103.06,2,1236.72,,0.49%
Mexico,2010,March,Solar,2.894,3,30.999,,0.01%
Mexico,2010,March,Renewables,2.757.928,22,45.046.671,,13.00%
Mexico,2010,March,Low carbon,3.457.136,26,50.707.671,,16.30%
Mexico,2010,March,Fossil fuels,17.755.372,27,213.628.051,,83.70%
Chile,2010,April,Hydro,1.740.416,1,21.641.001,,38.07%
Chile,2010,April,Wind,20.359,2,332.001,,0.45%
Chile,2010,April,Renewables,1.913.601,22,24.101.174,,41.86%
Chile,2010,April,Low carbon,1.922.934,26,24213.17,,42.07%
Chile,2010,April,Fossil fuels,2.657.423,27,34.232.823,,58.14%
Mexico,2010,April,Hydro,1904.65,1,36.790.001,,8.78%
Mexico,2010,April,Wind,103.06,2,1236.72,,0.48%
Mexico,2010,April,Solar,2.781,3,30.999,,0.01%
Mexico,2010,April,Renewables,2.563.963,22,45.046.671,,11.82%
Mexico,2010,April,Low carbon,3.033.713,26,50.707.671,,13.99%
Mexico,2010,April,Fossil fuels,18650.64,27,213.628.051,,86.01%
Chile,2010,May,Hydro,1.839.581,1,21.641.001,,38.89%
Chile,2010,May,Wind,15.092,2,332.001,,0.32%
Chile,2010,May,Renewables,2.003.941,22,24.101.174,,42.37%
